Rank,Opposition.Rank,Location,Losses,Draws,Wins,Games,pi_Loss,pi_Draw,pi_Win,Strata
1,2,0,8,7,4,19,0.42105263157894735,0.3684210526315789,0.21052631578947367,"(0,4]"
1,2,1,3,7,9,19,0.15789473684210525,0.3684210526315789,0.47368421052631576,"(0,4]"
1,3,0,12,3,4,19,0.631578947368421,0.15789473684210525,0.21052631578947367,"(0,4]"
1,3,1,5,7,7,19,0.2631578947368421,0.3684210526315789,0.3684210526315789,"(0,4]"
1,4,0,5,9,5,19,0.2631578947368421,0.47368421052631576,0.2631578947368421,"(0,4]"
1,4,1,3,5,11,19,0.15789473684210525,0.2631578947368421,0.5789473684210527,"(0,4]"
1,5,0,4,5,10,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,"(0,4]"
1,5,1,3,1,15,19,0.15789473684210525,0.05263157894736842,0.7894736842105263,"(0,4]"
1,6,0,2,6,11,19,0.10526315789473684,0.3157894736842105,0.5789473684210527,"(0,4]"
1,6,1,3,3,13,19,0.15789473684210525,0.15789473684210525,0.6842105263157895,"(0,4]"
1,7,0,9,2,8,19,0.47368421052631576,0.10526315789473684,0.42105263157894735,"(0,4]"
1,7,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
1,8,0,3,3,13,19,0.15789473684210525,0.15789473684210525,0.6842105263157895,"(0,4]"
1,8,1,1,5,13,19,0.05263157894736842,0.2631578947368421,0.6842105263157895,"(0,4]"
1,9,0,2,5,12,19,0.10526315789473684,0.2631578947368421,0.631578947368421,"(0,4]"
1,9,1,2,1,16,19,0.10526315789473684,0.05263157894736842,0.8421052631578947,"(0,4]"
1,10,0,3,4,12,19,0.15789473684210525,0.21052631578947367,0.631578947368421,"(0,4]"
1,10,1,1,0,18,19,0.05263157894736842,0,0.9473684210526315,"(0,4]"
1,11,0,5,5,9,19,0.2631578947368421,0.2631578947368421,0.47368421052631576,"(0,4]"
1,11,1,2,2,15,19,0.10526315789473684,0.10526315789473684,0.7894736842105263,"(0,4]"
1,12,0,1,7,11,19,0.05263157894736842,0.3684210526315789,0.5789473684210527,"(0,4]"
1,12,1,1,7,11,19,0.05263157894736842,0.3684210526315789,0.5789473684210527,"(0,4]"
1,13,0,5,2,12,19,0.2631578947368421,0.10526315789473684,0.631578947368421,"(0,4]"
1,13,1,1,0,18,19,0.05263157894736842,0,0.9473684210526315,"(0,4]"
1,14,0,3,6,10,19,0.15789473684210525,0.3157894736842105,0.5263157894736842,"(0,4]"
1,14,1,3,1,15,19,0.15789473684210525,0.05263157894736842,0.7894736842105263,"(0,4]"
1,15,0,6,2,11,19,0.3157894736842105,0.10526315789473684,0.5789473684210527,"(0,4]"
1,15,1,2,1,16,19,0.10526315789473684,0.05263157894736842,0.8421052631578947,"(0,4]"
1,16,0,3,3,13,19,0.15789473684210525,0.15789473684210525,0.6842105263157895,"(0,4]"
1,16,1,2,5,12,19,0.10526315789473684,0.2631578947368421,0.631578947368421,"(0,4]"
1,17,0,3,2,14,19,0.15789473684210525,0.10526315789473684,0.7368421052631579,"(0,4]"
1,17,1,1,1,17,19,0.05263157894736842,0.05263157894736842,0.8947368421052632,"(0,4]"
1,18,0,2,5,12,19,0.10526315789473684,0.2631578947368421,0.631578947368421,"(0,4]"
1,18,1,0,3,16,19,0,0.15789473684210525,0.8421052631578947,"(0,4]"
1,19,0,2,3,14,19,0.10526315789473684,0.15789473684210525,0.7368421052631579,"(0,4]"
1,19,1,1,4,14,19,0.05263157894736842,0.21052631578947367,0.7368421052631579,"(0,4]"
1,20,0,2,5,12,19,0.10526315789473684,0.2631578947368421,0.631578947368421,"(0,4]"
1,20,1,1,1,17,19,0.05263157894736842,0.05263157894736842,0.8947368421052632,"(0,4]"
2,3,0,9,5,5,19,0.47368421052631576,0.2631578947368421,0.2631578947368421,"(0,4]"
2,3,1,6,4,9,19,0.3157894736842105,0.21052631578947367,0.47368421052631576,"(0,4]"
2,4,0,8,8,3,19,0.42105263157894735,0.42105263157894735,0.15789473684210525,"(0,4]"
2,4,1,8,2,9,19,0.42105263157894735,0.10526315789473684,0.47368421052631576,"(0,4]"
2,5,0,2,8,9,19,0.10526315789473684,0.42105263157894735,0.47368421052631576,"(0,4]"
2,5,1,1,4,14,19,0.05263157894736842,0.21052631578947367,0.7368421052631579,"(0,4]"
2,6,0,5,6,8,19,0.2631578947368421,0.3157894736842105,0.42105263157894735,"(0,4]"
2,6,1,3,2,14,19,0.15789473684210525,0.10526315789473684,0.7368421052631579,"(0,4]"
2,7,0,11,4,4,19,0.5789473684210527,0.21052631578947367,0.21052631578947367,"(0,4]"
2,7,1,2,3,14,19,0.10526315789473684,0.15789473684210525,0.7368421052631579,"(0,4]"
2,8,0,1,5,13,19,0.05263157894736842,0.2631578947368421,0.6842105263157895,"(0,4]"
2,8,1,1,3,15,19,0.05263157894736842,0.15789473684210525,0.7894736842105263,"(0,4]"
2,9,0,3,6,10,19,0.15789473684210525,0.3157894736842105,0.5263157894736842,"(0,4]"
2,9,1,3,2,14,19,0.15789473684210525,0.10526315789473684,0.7368421052631579,"(0,4]"
2,10,0,2,8,9,19,0.10526315789473684,0.42105263157894735,0.47368421052631576,"(0,4]"
2,10,1,0,8,11,19,0,0.42105263157894735,0.5789473684210527,"(0,4]"
2,11,0,7,3,9,19,0.3684210526315789,0.15789473684210525,0.47368421052631576,"(0,4]"
2,11,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
2,12,0,2,6,11,19,0.10526315789473684,0.3157894736842105,0.5789473684210527,"(0,4]"
2,12,1,3,3,13,19,0.15789473684210525,0.15789473684210525,0.6842105263157895,"(0,4]"
2,13,0,5,3,11,19,0.2631578947368421,0.15789473684210525,0.5789473684210527,"(0,4]"
2,13,1,0,4,15,19,0,0.21052631578947367,0.7894736842105263,"(0,4]"
2,14,0,3,4,12,19,0.15789473684210525,0.21052631578947367,0.631578947368421,"(0,4]"
2,14,1,1,4,14,19,0.05263157894736842,0.21052631578947367,0.7368421052631579,"(0,4]"
2,15,0,5,5,9,19,0.2631578947368421,0.2631578947368421,0.47368421052631576,"(0,4]"
2,15,1,2,1,16,19,0.10526315789473684,0.05263157894736842,0.8421052631578947,"(0,4]"
2,16,0,6,2,11,19,0.3157894736842105,0.10526315789473684,0.5789473684210527,"(0,4]"
2,16,1,0,5,14,19,0,0.2631578947368421,0.7368421052631579,"(0,4]"
2,17,0,3,8,8,19,0.15789473684210525,0.42105263157894735,0.42105263157894735,"(0,4]"
2,17,1,2,3,14,19,0.10526315789473684,0.15789473684210525,0.7368421052631579,"(0,4]"
2,18,0,5,5,9,19,0.2631578947368421,0.2631578947368421,0.47368421052631576,"(0,4]"
2,18,1,0,3,16,19,0,0.15789473684210525,0.8421052631578947,"(0,4]"
2,19,0,1,4,14,19,0.05263157894736842,0.21052631578947367,0.7368421052631579,"(0,4]"
2,19,1,1,3,15,19,0.05263157894736842,0.15789473684210525,0.7894736842105263,"(0,4]"
2,20,0,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
2,20,1,2,3,14,19,0.10526315789473684,0.15789473684210525,0.7368421052631579,"(0,4]"
3,4,0,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(0,4]"
3,4,1,3,5,11,19,0.15789473684210525,0.2631578947368421,0.5789473684210527,"(0,4]"
3,5,0,3,7,9,19,0.15789473684210525,0.3684210526315789,0.47368421052631576,"(0,4]"
3,5,1,1,6,12,19,0.05263157894736842,0.3157894736842105,0.631578947368421,"(0,4]"
3,6,0,6,6,7,19,0.3157894736842105,0.3157894736842105,0.3684210526315789,"(0,4]"
3,6,1,5,2,12,19,0.2631578947368421,0.10526315789473684,0.631578947368421,"(0,4]"
3,7,0,6,5,8,19,0.3157894736842105,0.2631578947368421,0.42105263157894735,"(0,4]"
3,7,1,1,4,14,19,0.05263157894736842,0.21052631578947367,0.7368421052631579,"(0,4]"
3,8,0,6,5,8,19,0.3157894736842105,0.2631578947368421,0.42105263157894735,"(0,4]"
3,8,1,2,6,11,19,0.10526315789473684,0.3157894736842105,0.5789473684210527,"(0,4]"
3,9,0,4,5,10,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,"(0,4]"
3,9,1,1,3,15,19,0.05263157894736842,0.15789473684210525,0.7894736842105263,"(0,4]"
3,10,0,7,4,8,19,0.3684210526315789,0.21052631578947367,0.42105263157894735,"(0,4]"
3,10,1,2,8,9,19,0.10526315789473684,0.42105263157894735,0.47368421052631576,"(0,4]"
3,11,0,6,3,10,19,0.3157894736842105,0.15789473684210525,0.5263157894736842,"(0,4]"
3,11,1,2,5,12,19,0.10526315789473684,0.2631578947368421,0.631578947368421,"(0,4]"
3,12,0,6,6,7,19,0.3157894736842105,0.3157894736842105,0.3684210526315789,"(0,4]"
3,12,1,0,0,19,19,0,0,1,"(0,4]"
3,13,0,2,6,11,19,0.10526315789473684,0.3157894736842105,0.5789473684210527,"(0,4]"
3,13,1,2,3,14,19,0.10526315789473684,0.15789473684210525,0.7368421052631579,"(0,4]"
3,14,0,3,7,9,19,0.15789473684210525,0.3684210526315789,0.47368421052631576,"(0,4]"
3,14,1,0,3,16,19,0,0.15789473684210525,0.8421052631578947,"(0,4]"
3,15,0,4,9,6,19,0.21052631578947367,0.47368421052631576,0.3157894736842105,"(0,4]"
3,15,1,3,2,14,19,0.15789473684210525,0.10526315789473684,0.7368421052631579,"(0,4]"
3,16,0,2,6,11,19,0.10526315789473684,0.3157894736842105,0.5789473684210527,"(0,4]"
3,16,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
3,17,0,5,5,9,19,0.2631578947368421,0.2631578947368421,0.47368421052631576,"(0,4]"
3,17,1,1,6,12,19,0.05263157894736842,0.3157894736842105,0.631578947368421,"(0,4]"
3,18,0,3,3,13,19,0.15789473684210525,0.15789473684210525,0.6842105263157895,"(0,4]"
3,18,1,1,4,14,19,0.05263157894736842,0.21052631578947367,0.7368421052631579,"(0,4]"
3,19,0,2,8,9,19,0.10526315789473684,0.42105263157894735,0.47368421052631576,"(0,4]"
3,19,1,1,3,15,19,0.05263157894736842,0.15789473684210525,0.7894736842105263,"(0,4]"
3,20,0,5,3,11,19,0.2631578947368421,0.15789473684210525,0.5789473684210527,"(0,4]"
3,20,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
4,5,0,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(0,4]"
4,5,1,3,5,11,19,0.15789473684210525,0.2631578947368421,0.5789473684210527,"(0,4]"
4,6,0,6,4,9,19,0.3157894736842105,0.21052631578947367,0.47368421052631576,"(0,4]"
4,6,1,4,5,10,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,"(0,4]"
4,7,0,4,5,10,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,"(0,4]"
4,7,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
4,8,0,10,3,6,19,0.5263157894736842,0.15789473684210525,0.3157894736842105,"(0,4]"
4,8,1,1,6,12,19,0.05263157894736842,0.3157894736842105,0.631578947368421,"(0,4]"
4,9,0,3,8,8,19,0.15789473684210525,0.42105263157894735,0.42105263157894735,"(0,4]"
4,9,1,4,3,12,19,0.21052631578947367,0.15789473684210525,0.631578947368421,"(0,4]"
4,10,0,6,2,11,19,0.3157894736842105,0.10526315789473684,0.5789473684210527,"(0,4]"
4,10,1,1,5,13,19,0.05263157894736842,0.2631578947368421,0.6842105263157895,"(0,4]"
4,11,0,7,3,9,19,0.3684210526315789,0.15789473684210525,0.47368421052631576,"(0,4]"
4,11,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
4,12,0,9,2,8,19,0.47368421052631576,0.10526315789473684,0.42105263157894735,"(0,4]"
4,12,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
4,13,0,4,6,9,19,0.21052631578947367,0.3157894736842105,0.47368421052631576,"(0,4]"
4,13,1,0,6,13,19,0,0.3157894736842105,0.6842105263157895,"(0,4]"
4,14,0,3,8,8,19,0.15789473684210525,0.42105263157894735,0.42105263157894735,"(0,4]"
4,14,1,0,5,14,19,0,0.2631578947368421,0.7368421052631579,"(0,4]"
4,15,0,6,6,7,19,0.3157894736842105,0.3157894736842105,0.3684210526315789,"(0,4]"
4,15,1,3,2,14,19,0.15789473684210525,0.10526315789473684,0.7368421052631579,"(0,4]"
4,16,0,5,4,10,19,0.2631578947368421,0.21052631578947367,0.5263157894736842,"(0,4]"
4,16,1,4,4,11,19,0.21052631578947367,0.21052631578947367,0.5789473684210527,"(0,4]"
4,17,0,3,5,11,19,0.15789473684210525,0.2631578947368421,0.5789473684210527,"(0,4]"
4,17,1,1,5,13,19,0.05263157894736842,0.2631578947368421,0.6842105263157895,"(0,4]"
4,18,0,3,4,12,19,0.15789473684210525,0.21052631578947367,0.631578947368421,"(0,4]"
4,18,1,1,1,17,19,0.05263157894736842,0.05263157894736842,0.8947368421052632,"(0,4]"
4,19,0,2,8,9,19,0.10526315789473684,0.42105263157894735,0.47368421052631576,"(0,4]"
4,19,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(0,4]"
4,20,0,4,3,12,19,0.21052631578947367,0.15789473684210525,0.631578947368421,"(0,4]"
4,20,1,3,3,13,19,0.15789473684210525,0.15789473684210525,0.6842105263157895,"(0,4]"
5,6,0,7,9,3,19,0.3684210526315789,0.47368421052631576,0.15789473684210525,"(4,6]"
5,6,1,5,4,10,19,0.2631578947368421,0.21052631578947367,0.5263157894736842,"(4,6]"
5,7,0,9,5,5,19,0.47368421052631576,0.2631578947368421,0.2631578947368421,"(4,6]"
5,7,1,5,6,8,19,0.2631578947368421,0.3157894736842105,0.42105263157894735,"(4,6]"
5,8,0,10,4,5,19,0.5263157894736842,0.21052631578947367,0.2631578947368421,"(4,6]"
5,8,1,6,4,9,19,0.3157894736842105,0.21052631578947367,0.47368421052631576,"(4,6]"
5,9,0,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(4,6]"
5,9,1,5,4,10,19,0.2631578947368421,0.21052631578947367,0.5263157894736842,"(4,6]"
5,10,0,5,6,8,19,0.2631578947368421,0.3157894736842105,0.42105263157894735,"(4,6]"
5,10,1,5,2,12,19,0.2631578947368421,0.10526315789473684,0.631578947368421,"(4,6]"
5,11,0,5,8,6,19,0.2631578947368421,0.42105263157894735,0.3157894736842105,"(4,6]"
5,11,1,4,6,9,19,0.21052631578947367,0.3157894736842105,0.47368421052631576,"(4,6]"
5,12,0,4,9,6,19,0.21052631578947367,0.47368421052631576,0.3157894736842105,"(4,6]"
5,12,1,2,7,10,19,0.10526315789473684,0.3684210526315789,0.5263157894736842,"(4,6]"
5,13,0,8,5,6,19,0.42105263157894735,0.2631578947368421,0.3157894736842105,"(4,6]"
5,13,1,4,3,12,19,0.21052631578947367,0.15789473684210525,0.631578947368421,"(4,6]"
5,14,0,6,5,8,19,0.3157894736842105,0.2631578947368421,0.42105263157894735,"(4,6]"
5,14,1,5,1,13,19,0.2631578947368421,0.05263157894736842,0.6842105263157895,"(4,6]"
5,15,0,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(4,6]"
5,15,1,2,1,16,19,0.10526315789473684,0.05263157894736842,0.8421052631578947,"(4,6]"
5,16,0,1,7,11,19,0.05263157894736842,0.3684210526315789,0.5789473684210527,"(4,6]"
5,16,1,2,5,12,19,0.10526315789473684,0.2631578947368421,0.631578947368421,"(4,6]"
5,17,0,4,4,11,19,0.21052631578947367,0.21052631578947367,0.5789473684210527,"(4,6]"
5,17,1,1,3,15,19,0.05263157894736842,0.15789473684210525,0.7894736842105263,"(4,6]"
5,18,0,9,5,5,19,0.47368421052631576,0.2631578947368421,0.2631578947368421,"(4,6]"
5,18,1,3,4,12,19,0.15789473684210525,0.21052631578947367,0.631578947368421,"(4,6]"
5,19,0,4,5,10,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,"(4,6]"
5,19,1,3,4,12,19,0.15789473684210525,0.21052631578947367,0.631578947368421,"(4,6]"
5,20,0,3,8,8,19,0.15789473684210525,0.42105263157894735,0.42105263157894735,"(4,6]"
5,20,1,2,1,16,19,0.10526315789473684,0.05263157894736842,0.8421052631578947,"(4,6]"
6,7,0,6,4,9,19,0.3157894736842105,0.21052631578947367,0.47368421052631576,"(4,6]"
6,7,1,3,6,10,19,0.15789473684210525,0.3157894736842105,0.5263157894736842,"(4,6]"
6,8,0,5,8,6,19,0.2631578947368421,0.42105263157894735,0.3157894736842105,"(4,6]"
6,8,1,3,7,9,19,0.15789473684210525,0.3684210526315789,0.47368421052631576,"(4,6]"
6,9,0,8,6,5,19,0.42105263157894735,0.3157894736842105,0.2631578947368421,"(4,6]"
6,9,1,4,7,8,19,0.21052631578947367,0.3684210526315789,0.42105263157894735,"(4,6]"
6,10,0,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(4,6]"
6,10,1,4,6,9,19,0.21052631578947367,0.3157894736842105,0.47368421052631576,"(4,6]"
6,11,0,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(4,6]"
6,11,1,5,10,4,19,0.2631578947368421,0.5263157894736842,0.21052631578947367,"(4,6]"
6,12,0,5,6,8,19,0.2631578947368421,0.3157894736842105,0.42105263157894735,"(4,6]"
6,12,1,3,2,14,19,0.15789473684210525,0.10526315789473684,0.7368421052631579,"(4,6]"
6,13,0,7,4,8,19,0.3684210526315789,0.21052631578947367,0.42105263157894735,"(4,6]"
6,13,1,4,6,9,19,0.21052631578947367,0.3157894736842105,0.47368421052631576,"(4,6]"
6,14,0,8,3,8,19,0.42105263157894735,0.15789473684210525,0.42105263157894735,"(4,6]"
6,14,1,2,4,13,19,0.10526315789473684,0.21052631578947367,0.6842105263157895,"(4,6]"
6,15,0,7,3,9,19,0.3684210526315789,0.15789473684210525,0.47368421052631576,"(4,6]"
6,15,1,4,4,11,19,0.21052631578947367,0.21052631578947367,0.5789473684210527,"(4,6]"
6,16,0,6,7,6,19,0.3157894736842105,0.3684210526315789,0.3157894736842105,"(4,6]"
6,16,1,5,4,10,19,0.2631578947368421,0.21052631578947367,0.5263157894736842,"(4,6]"
6,17,0,4,7,8,19,0.21052631578947367,0.3684210526315789,0.42105263157894735,"(4,6]"
